"会社名","カテゴリー","電話番号","住所","webサイト"
"かしわぎ歯科","歯科、歯科口腔外科、小児歯科"," 0742-81-7840","奈良県奈良市西大寺南町５－７５","https://www.kashiwagi-dc.com/"
"渡辺歯科医院","矯正歯科、歯科、小児歯科"," 0742-46-1760","奈良県奈良市中山町２００－６",
"渡辺歯科医院","歯科、小児歯科"," 0744-22-6725","奈良県橿原市新賀町２７９－４",
"安田歯科医院","歯科"," 0742-43-7811","奈良県奈良市秋篠三和町１丁目１－１２","https://asp2.viaplatz.com/vpz/main/embp/?coid=9025&st=0&fmt=hls&br=750000&is_guest=YES&pghash=c454f2c33dac&is_embed=yes"
"田仲歯科医院","歯科"," 0745-69-4177","奈良県葛城市北道穗１９－５",
"エスエイ歯科医院橿原アルル店","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0744-21-2201","奈良県橿原市曲川町７丁目２０－１－２１５",
"らくじクリニック","歯科"," 0742-25-4165","奈良県奈良市西木辻町３１５－１",
"杉山歯科医院","歯科、歯科口腔外科、小児歯科"," 0742-41-1552","奈良県奈良市西大寺南町５－１６","https://www.sugiyama-dc-nara.com"
"吉井歯科","歯科"," 0744-22-2778","奈良県橿原市久米町８６７","https://www.yoshiishika-jinguumae.com"
"ふくつじ歯科医院","歯科、歯科口腔外科、小児歯科"," 0743-52-8850","奈良県大和郡山市北郡山町６３－１",
"吉田歯科医院","歯科"," 0745-32-1015","奈良県北葛城郡王寺町王寺２丁目６－１２",
"川畑歯科医院","歯科、小児歯科"," 0743-66-2104","奈良県天理市柳本町１３０２","http://kawabata-shika.com/"
"本多矯正歯科","矯正歯科、歯科"," 0743-71-8817","奈良県生駒市北新町１２－３８－２０２","http://www.honda-ortho.com/"
"いだ矯正歯科","矯正歯科"," 0742-51-0118","奈良県奈良市中登美ヶ丘５丁目１１－１",
"山下歯科医院","歯科、デンタルドック"," 0745-52-8100","奈良県大和高田市北本町１４－４－２０３","https://asp2.viaplatz.com/vpz/main/embp/?coid=7141&st=0&fmt=hls&br=750000&is_guest=YES&pghash=c454f2c33dac&is_embed=yes"
"にこにこ歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-81-4182","奈良県奈良市石木町１００－１",
"ゆめはんな歯科クリニック登美ヶ丘","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-71-4182","奈良県生駒市鹿畑町３０２７",
"かしはら矯正歯科","矯正歯科"," 0744-26-1060","奈良県橿原市久米町５４６－２－１Ｆ",
"医療法人山雅会山尾歯科診療所","歯科"," 0742-34-8145","奈良県奈良市大宮町２丁目１－６","http://yamao-shika.com/"
"学園前いのうえ矯正歯科クリニック","矯正歯科"," 0742-40-2378","奈良県奈良市学園北１丁目８－８",
"いのうえこどもファミリー歯科","矯正歯科、歯科、小児歯科"," 0742-81-4173","奈良県奈良市二名３丁目１０４６－１",
"高の原駅前なかお歯科医院","歯科、歯科口腔外科、小児歯科"," 0742-72-1182","奈良県奈良市朱雀３丁目１１－７－１０３",
"きたおり歯科医院","歯科"," 0742-71-1029","奈良県奈良市神功４丁目６－９",
"扇谷歯科医院","歯科"," 0744-54-2288","奈良県高市郡明日香村大字川原１８",
"近藤歯科医院","歯科"," 0743-63-5300","奈良県天理市東井戸堂町４１２－１",
"エスエイ歯科医院ラスパ西大和店","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-71-0888","奈良県北葛城郡上牧町ささゆり台１丁目１Ｆ",
"いまもと歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-43-6480","奈良県葛城市北花内５７３－１",
"はしもと歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-36-8241","奈良県奈良市三条本町９－２１－１Ｆ",
"藤井歯科矯正歯科","歯科"," 0745-82-0002","奈良県宇陀市榛原萩原８１８－１","http://www.fujii-ortho.com/"
"にしおか歯科","歯科、歯科口腔外科"," 0742-71-9012","奈良県奈良市神功５丁目２－１１","https://www.nishioka-dental.com/"
"万葉クリニック","歯科、心療内科、精神科、内科、皮膚科"," 0744-26-2884","奈良県橿原市五井町２４７",
"美希デンタルクリニック","歯科"," 0742-51-0461","奈良県奈良市西登美ヶ丘４丁目２－１１",
"中川歯科医院","歯科、小児歯科"," 0744-27-4332","奈良県橿原市東坊城町９４２","https://www.takataka5959.com/"
"有山西大寺歯科診療所","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-45-7357","奈良県奈良市西大寺国見町１丁目１－１３１","http://www.ariyama-dental.com/"
"堀内歯科医院","歯科"," 0747-22-2178","奈良県五條市二見２丁目３－４０",
"松原医科歯科医院","外科、歯科、小児科、小児歯科、整形外科、内科、放射線科"," 0744-32-2550","奈良県磯城郡田原本町大字阪手５３１",
"戸尾歯科医院","歯科、小児歯科"," 0742-71-4033","奈良県奈良市朱雀５丁目１４－１",
"竹野歯科医院","歯科、小児歯科"," 0744-44-1146","奈良県桜井市大字阿部５１１－２",
"やすえデンタルクリニック","歯科"," 0745-22-1133","奈良県大和高田市大字藤森１７１－７",
"やまもと歯科","矯正歯科、歯科、歯科口腔外科"," 0745-23-6480","奈良県大和高田市幸町３－１８",
"かじはら歯科口腔外科","矯正歯科、歯科、歯科口腔外科"," 0744-47-4606","奈良県橿原市木原町２１３－７－１Ｂ",
"かねしま歯科","歯科"," 0742-71-4125","奈良県奈良市神功４丁目２－７","http://kaneshima.web.fc2.com/"
"のぞみ歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-71-1155","奈良県香芝市下田西３丁目１－２６",
"大友歯科医院","歯科、小児歯科"," 0745-45-0180","奈良県生駒郡平群町菊美台１丁目７－５－２Ｆ－２","https://www.otomo-d.net/"
"学園前山田兄弟歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-51-5490","奈良県奈良市学園北１丁目１－１","http://www.yamadabr.com/gakuenmae/"
"牧浦歯科医院","歯科、小児歯科"," 0745-77-0300","奈良県香芝市高２７－１",
"たけはら歯科","歯科、歯科口腔外科、小児歯科"," 0742-44-0882","奈良県奈良市朝日町１丁目５－１",
"郡山駅前歯科","歯科、歯科口腔外科、小児歯科"," 0743-58-6471","奈良県大和郡山市高田町１４１－６－１０６",
"岡本矯正歯科","矯正歯科、歯科"," 0743-78-8700","奈良県生駒市上町３５０７－４","http://okamoto-kyousei.com"
"上田デンタルクリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-93-9940","奈良県奈良市あやめ池南２丁目１－５０","http://ueda-dental-clinic.com/"
"上林歯科医院","歯科"," 0742-35-6000","奈良県奈良市法蓮町１５０－３","http://www.kambayashi-dc.com/"
"いのうえ歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-78-2181","奈良県香芝市瓦口２１５５－１－１０１","https://inoue-8020.com/"
"やまぐち歯科","歯科、歯科口腔外科、小児歯科"," 0745-31-0870","奈良県北葛城郡王寺町王寺１丁目１－７－１Ｆ","https://yamaguchishika-oji.com"
"ひらかわファミリー歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-73-2271","奈良県生駒市東松ケ丘１６－１１－１Ｆ","https://hirakawa-family.com/"
"ＵＤｅｎｔａｌＣｌｉｎｉｃ生駒郡法隆寺院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-75-8810","奈良県生駒郡斑鳩町法隆寺東２丁目１－２８","https://www.u-dental-ikoma.com/"
"藤原歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-51-0314","奈良県大和高田市本郷町５－３０","https://fujiwara118.jp/"
"ＬＯＨＡＳデンタルクリニック","歯科、歯科口腔外科"," 0742-93-8363","奈良県奈良市西大寺東町１丁目４－４６－１Ｆ","https://nara-implant.com/"
"さわやか歯科","歯科"," 0744-29-5466","奈良県橿原市中曽司町１９１－１４",
"北山歯科診療所","歯科、歯科口腔外科、小児歯科","(F兼) 0745-92-3185","奈良県宇陀市室生大野２２７２－２",
"川井歯科医院","歯科"," 0742-23-2658","奈良県奈良市東向北町１９",
"かつらぎ歯科医院","歯科"," 0120-154418","奈良県北葛城郡上牧町葛城台１丁目２－３",
"東生駒トシオデンタル","矯正歯科、歯科"," 0120-648001","奈良県生駒市東生駒１丁目５７",
"きむら歯科","歯科、小児歯科"," 0120-531182","奈良県生駒市真弓４丁目４－５",
"いとう歯科","歯科"," 0120-716510","奈良県生駒市東生駒２丁目２０７－８２",
"医療法人慈心会ヤスデンタルクリニック／分院","矯正歯科、歯科、小児歯科"," 0742-48-0818","奈良県奈良市中登美ヶ丘４丁目３",
"稲田歯科","歯科、歯科口腔外科、小児歯科","(代) 0742-23-6020","奈良県奈良市高畑町１４８６",
"小山歯科","歯科、歯科口腔外科、小児歯科","(代) 0744-46-0008","奈良県桜井市大字忍阪１－１－１Ｆ－Ｄ",
"岩崎歯科診療所","歯科、小児歯科","(代) 0744-22-2134","奈良県橿原市八木町１丁目７－３",
"医療法人きたよし歯科医院","歯科、小児歯科","(代) 0744-29-5344","奈良県橿原市石原田町２７８－１１",
"今西歯科医院","歯科","(代) 0747-52-7841","奈良県吉野郡大淀町大字下渕９６",
"奈良県立医科大学（公立大学法人）附属病院","総合病院、アレルギー科、眼科、気管食道外科、矯正歯科、形成外科、外科、肛門外科、呼吸器外科、呼吸器内科、産科、産婦人科、歯科、歯科口腔外科、耳鼻咽喉科、循環器内科、消化器外科、消化器内科、小児科、小児外科、小児歯科、神経内科、心臓血管外科、心療内科、性感染症外科、整形外科、精神科、内科、脳神経外科、泌尿器科、皮膚科、婦人科、放射線科、リウマチ科、リハビリテーション科","(代) 0744-22-3051","奈良県橿原市四条町８４０",
"はつおか歯科","歯科、小児歯科"," 0744-32-2405","奈良県磯城郡田原本町大字秦庄４５８－７",
"いちろう歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-63-4618","奈良県奈良市西九条町３丁目４－１３",
"中島歯科","矯正歯科、歯科、小児歯科"," 0742-44-0631","奈良県奈良市千代ヶ丘１丁目３－１",
"上田歯科医院","矯正歯科、歯科、小児歯科"," 0745-73-1839","奈良県北葛城郡河合町星和台２丁目２－４",
"岡本歯科西大寺診療所","矯正歯科、歯科"," 0742-47-8333","奈良県奈良市西大寺国見町３丁目５－１０",
"糸数歯科","歯科"," 0743-74-5663","奈良県生駒市谷田町３７１－３",
"岡下歯科医院","歯科"," 0747-52-2266","奈良県吉野郡大淀町大字下渕９０８－２",
"芭蕉堂歯科医院","歯科"," 0744-43-8648","奈良県桜井市本町通９３５",
"いずみ歯科医院","歯科"," 0742-71-8249","奈良県奈良市右京４丁目１３－２",
"忠歯科医院","歯科"," 0743-76-8002","奈良県生駒市壱分町８３－４８",
"くらさか歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-78-8814","奈良県香芝市白鳳台１丁目１９－２",
"西浦歯科医院","歯科、小児歯科"," 0742-43-7770","奈良県奈良市富雄元町２丁目５－２０",
"内田歯科医院","歯科"," 0745-75-2643","奈良県生駒郡斑鳩町龍田南４丁目３－１１",
"平越歯科医院","歯科"," 0745-76-6480","奈良県香芝市下田西４丁目１５３－１",
"山本歯科医院","歯科"," 0744-32-0212","奈良県磯城郡田原本町大字新町２１０－７",
"おち歯科","矯正歯科、歯科、小児歯科"," 0743-78-2241","奈良県生駒市白庭台３丁目１５－３",
"宇治歯科医院","歯科"," 0745-75-2211","奈良県生駒郡斑鳩町龍田西４丁目１－４５",
"宮本歯科医院","歯科"," 0744-28-2277","奈良県橿原市久米町６００－１",
"ＪＲ奈良駅前歯科","歯科"," 0742-22-4182","奈良県奈良市三条本町１－２",
"冨田歯科医院","歯科、小児歯科"," 0745-72-7618","奈良県北葛城郡王寺町本町４丁目６－１６",
"岡本歯科西大寺診療所","矯正歯科、歯科"," 0742-46-8049","奈良県奈良市西大寺国見町３丁目５－１０",
"東谷歯科医院","矯正歯科、歯科、小児歯科"," 0745-72-6886","奈良県北葛城郡河合町広瀬台３丁目１１－１１",
"西歯科医院","歯科、小児歯科"," 0742-27-4460","奈良県奈良市法蓮町４１２－１－２０１",
"松井歯科医院","歯科"," 0744-42-2236","奈良県桜井市大字桜井２６－２",
"まつた歯科クリニック","歯科"," 0747-25-0100","奈良県五條市住川町１５３－３",
"中井歯科医院","歯科、小児歯科"," 0745-53-5332","奈良県大和高田市大字根成柿６０６－１",
"岡山歯科医院","矯正歯科、歯科"," 0745-23-0612","奈良県大和高田市昭和町３－１１７",
"さくら歯科","歯科、小児歯科"," 0744-32-6480","奈良県磯城郡田原本町田原本２００",
"大倉歯科医院","歯科、小児歯科"," 0745-76-6644","奈良県香芝市瓦口２３２４",
"藤井歯科医院","歯科"," 0743-85-0935","奈良県山辺郡山添村大字遅瀬３５４－６",
"田仲歯科医院","歯科、小児歯科"," 0745-67-1211","奈良県御所市大字奉膳３７１",
"上杉歯科","歯科"," 0744-45-3330","奈良県桜井市大字箸中９７９－１",
"辻井歯科医院","歯科"," 0746-32-8134","奈良県吉野郡吉野町大字平尾３１２",
"今田歯科医院","歯科"," 0747-25-0327","奈良県五條市住川町４８１－１",
"南野歯科医院","歯科"," 0743-56-8144","奈良県大和郡山市馬司町８８－１",
"市村歯科医院","歯科"," 0744-28-2030","奈良県橿原市五条野町３２９－２",
"入部歯科医院","歯科、歯科口腔外科、小児歯科"," 0742-27-6480","奈良県奈良市北市町３６－７",
"西川歯科医院","歯科"," 0745-78-3448","奈良県北葛城郡上牧町服部台４丁目５－１",
"三輪歯科医院","歯科"," 0744-21-6123","奈良県橿原市葛本町８２２－１１",
"武田歯科医院","歯科、歯科口腔外科、小児歯科"," 0745-79-7820","奈良県香芝市磯壁３丁目９７－４",
"濱歯科医院","歯科"," 0745-48-2922","奈良県葛城市當麻３８７－１",
"田中歯科診療所","歯科"," 0745-22-2979","奈良県大和高田市片塩町１５－２１",
"野村歯科医院","歯科"," 0743-52-3105","奈良県大和郡山市小泉町５４９－４",
"吉村歯科","歯科"," 0745-78-4180","奈良県香芝市真美ヶ丘３丁目２２－８",
"おおはし歯科医院","歯科"," 0743-75-8241","奈良県生駒市山崎町２１－３９",
"あおき歯科","歯科、小児歯科"," 0742-41-0820","奈良県奈良市西大寺赤田町２丁目１－４－Ａ１",
"はかた歯科医院","歯科"," 0744-42-9230","奈良県桜井市大字桜井５６０－１",
"矢追歯科医院","歯科"," 0743-62-4781","奈良県天理市川原城町７３４",
"有城歯科医院","歯科"," 0744-47-7555","奈良県桜井市大字初瀬９０３－１",
"新田歯科医院","歯科"," 0745-22-2125","奈良県大和高田市東三倉堂町９－１０",
"湖山歯科医院","歯科、小児歯科"," 0743-76-6487","奈良県生駒市有里町９３－Ｂ－１０１",
"もりた歯科クリニック","矯正歯科、歯科、小児歯科"," 0742-33-2002","奈良県奈良市二条町２丁目２－５",
"東生駒トシオデンタル","矯正歯科、歯科"," 0743-73-0087","奈良県生駒市東生駒１丁目５７",
"尾上歯科医院","歯科"," 0746-32-0006","奈良県吉野郡大淀町大字新野２４１－１",
"姫嶋歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-46-3284","奈良県奈良市菅野台１－３４",
"中辻歯科医院","歯科"," 0744-27-9188","奈良県橿原市久米町５９６－２",
"うえむら歯科医院","歯科、小児歯科"," 0743-57-1020","奈良県生駒郡安堵町大字東安堵１７１２－１",
"西野歯科医院","歯科"," 0743-52-0118","奈良県大和郡山市小泉町８８１－３",
"松尾光至","歯科"," 0745-52-2090","奈良県大和高田市北本町７－２７",
"玉井歯科医院","歯科"," 0743-52-3385","奈良県大和郡山市本町２６－１",
"今西歯科クリニック","歯科"," 0744-24-5577","奈良県橿原市北八木町１丁目６－１",
"堀内歯科医院","歯科、小児歯科"," 0743-62-4836","奈良県天理市前栽町１１９－２１",
"橋本歯科医院","歯科、小児歯科"," 0744-42-3122","奈良県桜井市大字桜井８８７",
"寺野歯科医院","歯科"," 0743-74-5728","奈良県生駒市谷田町１６００",
"おがわ歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-51-4188","奈良県奈良市六条２丁目３－２０",
"ファミリー歯科診療所","歯科、歯科口腔外科"," 0742-33-7101","奈良県奈良市佐紀町２",
"よねだ歯科医院","歯科、小児歯科"," 0744-29-2220","奈良県橿原市南八木町２丁目７－２４",
"中田歯科医院","歯科"," 0745-45-1262","奈良県生駒郡平群町吉新４丁目１－２２",
"おかもと歯科医院","歯科、小児歯科"," 0742-63-1188","奈良県奈良市神殿町３１２",
"河合歯科医院","歯科"," 0745-52-2050","奈良県大和高田市片塩町７－２",
"岩城歯科医院","歯科"," 0744-46-1000","奈良県桜井市大字大福２７０",
"すざく歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-70-6480","奈良県奈良市朱雀６丁目９－５",
"かじはら歯科医院","歯科"," 0742-71-7074","奈良県奈良市左京２丁目３－１－５－５",
"後藤歯科クリニック","歯科"," 0743-73-8469","奈良県生駒市北新町１０－４０－２０２",
"釜田歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0747-22-2365","奈良県五條市須恵３丁目４－２６",
"山本歯科医院","歯科"," 0743-68-1881","奈良県天理市指柳町２９３－５",
"しまの歯科クリニック","矯正歯科、歯科、小児歯科"," 0743-71-2860","奈良県生駒市西白庭台２丁目２０－４",
"まつもと歯科医院","歯科"," 0742-81-3213","奈良県奈良市あやめ池北１丁目３２－２１－Ｂ２０６",
"うえだ歯科","歯科、小児歯科"," 0745-45-7565","奈良県生駒郡平群町大字福貴１１３５－１",
"望月歯科医院","歯科"," 0742-23-2191","奈良県奈良市紀寺町６７３",
"杉平歯科医院三輪診療所","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0744-42-6262","奈良県桜井市大字三輪３９２－１",
"やすらぎ歯科医院","歯科"," 0743-64-3000","奈良県磯城郡川西町大字下永１２７３－２５",
"サンワ歯科岡本","歯科"," 0745-22-0212","奈良県大和高田市三和町８－１７",
"よし歯科医院","歯科、小児歯科"," 0745-71-4554","奈良県香芝市別所４７－１",
"西井歯科医院","歯科"," 0745-53-7302","奈良県大和高田市大字根成柿３８０－１－Ａ－１０１",
"髙橋歯科医院","歯科、歯科口腔外科、小児歯科"," 0742-53-1572","奈良県奈良市帝塚山６丁目２－１",
"当麻歯科医院","歯科"," 0745-23-3339","奈良県大和高田市本郷町７－５",
"中溝歯科医院","歯科"," 0743-76-8101","奈良県生駒市小瀬町３４－７",
"椿本歯科医院","歯科、小児歯科"," 0745-48-2063","奈良県葛城市長尾１０１－１",
"やわらぎ歯科医院","歯科、歯科口腔外科、小児歯科"," 0745-34-2500","奈良県北葛城郡王寺町王寺２丁目６－４－２Ｆ",
"川畑歯科医院","歯科、小児歯科"," 0743-62-8241","奈良県天理市川原城町３６１－２",
"西奈良メディカルクリニック／メディカルフィットネス登美ケ丘","医院・診療所、歯科、内科、皮膚科、美容皮膚科"," 0742-52-2120","奈良県奈良市二名平野２丁目２１４８－２",
"西奈良メディカルクリニック","医院・診療所、歯科、内科、皮膚科、美容皮膚科"," 0742-52-2110","奈良県奈良市二名平野２丁目２１４８－２",
"おぐら歯科","歯科、小児歯科"," 0743-77-0648","奈良県生駒市小平尾町９３",
"杉村歯科医院","歯科"," 0744-22-2564","奈良県橿原市曽我町４８２",
"久保田歯科","歯科"," 0743-74-9050","奈良県生駒市東生駒１丁目６１－２",
"やまうち歯科クリニック","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0743-58-5454","奈良県大和郡山市小泉町５６２－２",
"馬場歯科医院","歯科、小児歯科"," 0742-47-6669","奈良県奈良市富雄元町２丁目５－２５",
"松川歯科医院","歯科"," 0744-29-0880","奈良県橿原市醍醐町５０２－３４",
"鵜山歯科医院","歯科"," 0745-48-6363","奈良県葛城市尺土１８９－４１",
"松尾歯科医院","歯科"," 0745-52-2090","奈良県大和高田市北本町７－２７",
"大宅歯科医院","歯科"," 0745-73-0733","奈良県生駒郡三郷町信貴ケ丘１丁目２－１８",
"オオタ歯科","歯科"," 0745-45-4060","奈良県生駒郡平群町西宮３丁目１２－１０",
"もりと歯科","歯科"," 0744-24-3123","奈良県橿原市中曽司町１９４－１１",
"ハヤシ歯科医院","歯科"," 0743-57-8818","奈良県大和郡山市今国府町１８３－１",
"三﨑歯科医院","歯科"," 0742-23-8411","奈良県奈良市西木辻町２４０",
"御簾歯科医院","歯科、小児歯科"," 0744-45-4618","奈良県桜井市大字粟殿１０１６－５",
"金子歯科医院","歯科"," 0745-52-2827","奈良県大和高田市本郷町２－４４",
"寺嶋歯科","歯科、小児歯科"," 0745-32-2211","奈良県生駒郡三郷町美松ケ丘西１丁目１－７",
"ひだ歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-53-7040","奈良県奈良市宝来４丁目７－６",
"高岡歯科医院","歯科、小児歯科"," 0744-26-1234","奈良県橿原市石川町５０２－６",
"西尾歯科","歯科"," 0747-25-0315","奈良県五條市本町１丁目５－２１",
"竹田歯科","矯正歯科、歯科、小児歯科"," 0745-31-0880","奈良県北葛城郡河合町大字薬井４７７",
"高塚台ひろき歯科","歯科"," 0745-33-7418","奈良県北葛城郡河合町高塚台２丁目３９－１６",
"小野歯科医院","歯科、小児歯科"," 0742-41-3263","奈良県奈良市疋田町２丁目１－２１",
"米本歯科医院","歯科"," 0742-26-5122","奈良県奈良市三条町５１２－１",
"ならまちワンネス歯科","歯科"," 0742-23-2200","奈良県奈良市北風呂町３７－１",
"吉崎歯科医院","歯科"," 0745-76-8520","奈良県香芝市上中４７４－１",
"ふくだ歯科医院","歯科"," 0744-45-0110","奈良県桜井市大字桜井１３９－１",
"ひさやま歯科","歯科"," 0743-74-0036","奈良県生駒市谷田町８８２－２",
"富雄歯科診療所","歯科"," 0742-46-3511","奈良県奈良市富雄元町２丁目１－２２－２Ｆ－Ｂ",
"中川歯科医院","歯科"," 0743-53-3205","奈良県大和郡山市柳町４５－４",
"吉村歯科医院","矯正歯科、歯科、小児歯科"," 0745-57-1182","奈良県北葛城郡河合町池部２丁目１－９",
"水谷歯科","歯科"," 0745-82-6814","奈良県宇陀市榛原萩原１６３－１",
"中林歯科医院","歯科、歯科口腔外科、小児歯科"," 0744-21-6480","奈良県橿原市北妙法寺町６４７",
"よしむら歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0742-49-0418","奈良県奈良市三碓６丁目１０－３－１０２",
"すずか歯科医院","歯科"," 0743-74-7007","奈良県生駒市東生駒１丁目７０－６",
"芳本歯科医院","矯正歯科、歯科、小児歯科"," 0745-74-3355","奈良県生駒郡斑鳩町阿波２丁目１４－４",
"宮崎歯科医院","矯正歯科、歯科、小児歯科"," 0745-78-3366","奈良県香芝市西真美１丁目５－１",
"やまなか歯科","歯科、歯科口腔外科、小児歯科"," 0742-45-0710","奈良県奈良市中登美ヶ丘６丁目３－３",
"奥田歯科医院","歯科"," 0742-45-0488","奈良県奈良市富雄北２丁目１－５",
"岡本歯科医院","歯科、歯科口腔外科、小児歯科"," 0745-76-0001","奈良県香芝市下田西２丁目１０－１０",
"小村歯科医院","歯科"," 0745-55-8241","奈良県北葛城郡広陵町馬見北６丁目１１－１６",
"松本歯科医院","歯科"," 0744-25-2301","奈良県橿原市内膳町５丁目４－４５",
"中島歯科医院","歯科"," 0743-74-5666","奈良県生駒市東生駒２丁目２０７－３８７",
"中村歯科医院","歯科"," 0743-74-7047","奈良県生駒市新生駒台１１－１７",
"みやもと矯正歯科医院","矯正歯科、歯科"," 0745-73-4041","奈良県北葛城郡王寺町王寺２丁目８－２５",
"藤本歯科医院","歯科、小児歯科"," 0743-63-1616","奈良県天理市田部町２３",
"ホワイト歯科","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0744-25-8801","奈良県橿原市八木町１丁目５－３０",
"小西歯科医院","歯科"," 0745-83-2140","奈良県宇陀市大宇陀拾生７１６",
"やすだ歯科","歯科"," 0745-22-8244","奈良県大和高田市春日町２丁目１－２５－２",
"細田歯科医院","歯科"," 0742-27-1155","奈良県奈良市雑司町４１",
"木村歯科医院","歯科"," 0746-36-6953","奈良県吉野郡吉野町大字新子３６４",
"岸歯科医院","矯正歯科、歯科、歯科口腔外科、小児歯科"," 0745-32-0668","奈良県北葛城郡河合町中山台１丁目１－１７",
"畑中歯科医院","歯科"," 0745-32-5200","奈良県生駒郡三郷町城山台３丁目８－２８",
"阪上歯科クリニック","歯科"," 0743-54-2020","奈良県大和郡山市南郡山町５２７－５",
"いこまデンタルクリニック","歯科、歯科口腔外科、小児歯科"," 0743-72-2188","奈良県生駒市山崎町２－６－１０１",
"俵本歯科医院","歯科、歯科口腔外科"," 0745-62-1010","奈良県御所市大字櫛羅３３７－２",
"いわい歯科クリニック","歯科、歯科口腔外科、小児歯科"," 0745-43-6870","奈良県香芝市逢坂８丁目２２５－１",
"増田歯科医院","歯科"," 0745-62-2925","奈良県御所市大字三室４２７",
"おおの歯科","歯科、小児歯科"," 0743-54-5678","奈良県大和郡山市九条町２９８－７",
"たつみ歯科・矯正歯科医院","矯正歯科、歯科"," 0745-43-2163","奈良県磯城郡川西町大字唐院３９９－２",
"栗原歯科診療所","歯科"," 0742-45-0529","奈良県奈良市あやめ池南１丁目８－３１",
"山中歯科医院","歯科、小児歯科"," 0743-54-0006","奈良県大和郡山市柳３丁目１４",
"池原歯科","歯科"," 0745-79-8241","奈良県香芝市五位堂１０１３",
"土居歯科医院","歯科"," 0746-32-2623","奈良県吉野郡吉野町大字立野２２２",
"井戸西歯科医院","歯科"," 0742-48-2898","奈良県奈良市六条３丁目１１－５",
"杉年歯科医院","歯科、小児歯科"," 0745-82-3456","奈良県宇陀市榛原萩原１５６",
"吉井歯科医院","歯科"," 0744-22-2317","奈良県橿原市八木町３丁目２－１１",
"サン歯科こめだクリニック","歯科"," 0745-63-1917","奈良県御所市大広町１８０－１２",
"ひさかわ歯科医院","歯科"," 0742-87-0417","奈良県奈良市学園南３丁目９－７",
"さくら歯科クリニック","歯科、小児歯科"," 0747-23-6480","奈良県五條市今井５丁目１４８４－４",
"青山歯科医院","歯科"," 0742-34-4618","奈良県奈良市西大寺東町１丁目２－１３",
"尾髙歯科医院","歯科、小児歯科"," 0745-71-4618","奈良県香芝市磯壁３丁目４０－１－１Ｆ",
"木村雅行","歯科"," 0746-36-6019","奈良県吉野郡吉野町大字新子１３７",
"おさだ歯科医院","歯科"," 0745-32-4618","奈良県北葛城郡王寺町本町２丁目１１－２９",
"黒田歯科","歯科"," 0743-54-3885","奈良県大和郡山市柳１丁目１９",
"西村歯科クリニック","歯科"," 0743-77-0006","奈良県生駒市さつき台２丁目４５１－３１",
"田園歯科クリニック","歯科、小児歯科"," 0747-22-5454","奈良県五條市田園３丁目２－６",
"こまつ歯科医院","歯科"," 0745-23-8841","奈良県大和高田市礒野東町１－１０",
"えんどう歯科クリニック","歯科、小児歯科"," 0745-23-5445","奈良県大和高田市神楽２丁目１２－３４",
"中島歯科医院","歯科、歯科口腔外科、小児歯科"," 0743-70-8020","奈良県生駒市谷田町１６００",
"品川歯科医院","歯科"," 0743-73-2323","奈良県生駒市元町１丁目５－１３",
"池田歯科医院","歯科"," 0743-75-8148","奈良県生駒市西旭ケ丘１２－３３",
"櫻井歯科医院","歯科"," 0745-52-2158","奈良県大和高田市南本町４－１０",
"木村歯科医院","歯科"," 0742-22-8148","奈良県奈良市南紀寺町１丁目２１９",
"米田歯科医院","歯科"," 0745-62-2820","奈良県御所市豊年橋通り７７３",
"三愛歯科医院","歯科"," 0744-24-3010","奈良県橿原市新口町１３３－７",
"いつさき歯科","矯正歯科、歯科、小児歯科"," 0742-61-0015","奈良県奈良市神殿町７０８－１",
"松岡歯科医院","歯科"," 0742-27-8118","奈良県奈良市青山８丁目９－１２",
