"会社名","カテゴリー","電話番号","住所","webサイト"
"まごころ弁当布施店","在宅配食サービス、食材宅配サービス、宅配飲食"," 06-6224-4037","大阪府東大阪市荒川２－２７－８",
"テンポス東大阪店","飲食店、エアコン卸、エアコンクリーニング、エアコン工事、温水器、貸店舗、ガス機器卸、ガス器具、ガス器具販売、業務用冷蔵庫、空調機械、建設業、古物商、食品加工用機械、食料品加工機械卸、食器洗い機製造、食器乾燥器製造、ステンレス製品、ステンレス製品卸、ステンレス製品販売、製氷機械器具卸、製麺機械、製麺機械器具卸、そば道具販売、台所用品卸、中古機械買取、厨房用機械器具、厨房用機械器具卸、調理食品加工機械製造、ディスプレイデザイン、デザイン、電気釜製造、電気冷蔵庫製造、陶器店、陶磁器製厨房器具製造、内装工事、肉類加工機械製造、配管工事、はさみ・包丁研ぎ、はし、刃物店、ホーロー鉄器、リサイクルショップ、リノベーション、リフォーム、冷蔵装置製造"," 072-965-0319","大阪府東大阪市横枕西１２－２４",
"八宝食品株式会社","料理仕出し"," 06-6728-6551","大阪府東大阪市足代３丁目７－１",
"株式会社河合メカニカル","印刷用機械製造、飲料加工機械製造、化学機械製造、滑車製造、缶詰製造機械製造、機械工具製造、機械部品製造、牛乳加工機械製造、金属工作機械製造、空気動工具製造、結さつ機製造、研削盤製造、工業用長さ計製造、工作機械製造、工作機械部品製造、産業用ロボット製造、シール機製造、軸受製造、治具製造、食料品加工機械製造、水産加工機械製造、ステープラー製造、精密機械器具製造、切削工具製造、せん断機製造、旋盤製造、測定機械器具製造、大気汚染防止機器製造、ダイヤモンド工具製造、タップ・ダイス製造、鍛鋼製造、鍛工品製造、超硬工具製造、調理食品加工機械製造、テープ貼り機製造、電動ドリル製造、動力伝導装置製造、特殊鋼工具製造、肉類加工機械製造、ノギス製造、廃棄物処理機器製造、歯車製造、パレット包装機製造、半導体製造装置製造、バンド掛け機製造、ピストンリング製造、非鉄金属鍛造品製造、瓶詰機械製造、フライス盤製造、包装梱包機械製造"," 06-6789-6519","大阪府東大阪市藤戸新田２丁目９－７",
"有限会社内畿通商","健康食品卸、自然食品卸、食品加工卸、日用品雑貨卸","(F専) 06-4306-5716","大阪府東大阪市西岩田２丁目２－１５",
"飯尾産業株式会社","食料品卸","(F専) 072-964-1108","大阪府東大阪市中新開２丁目５－２１",
"株式会社ケイ・アール・エス","牛肉卸、食肉卸","(F専) 06-6744-2930","大阪府東大阪市楠根１丁目９－３８",
"木村屋パン","パン製造・卸","(F専) 06-6728-4003","大阪府東大阪市柏田西２丁目１３－１５",
"有限会社森本","食料品卸","(F専) 072-980-8060","大阪府東大阪市下六万寺町１丁目４－４",
"有限会社万惣","食料品卸","(F専) 072-961-8870","大阪府東大阪市中新開２丁目１３－２３",
"株式会社竹内商店","酒類卸","(F専) 06-6722-2325","大阪府東大阪市衣摺２丁目３－１",
"株式会社タムラギ","落花生","(F専) 06-6723-6578","大阪府東大阪市若江東町４丁目１－１０",
"ＪＲＳコーポレーション","塩卸、塩・製塩、塩販売","(F専) 072-982-9374","大阪府東大阪市下六万寺町３丁目８－６１",
"雄工精機株式会社","食品加工用機械","(F専) 06-4307-6567","大阪府東大阪市荒本北１丁目４－１－２１０８","http://www.yuko-seiki.jp/"
"畑製菓株式会社","菓子製造","(F専) 06-6722-1575","大阪府東大阪市永和１丁目２０－７",
"有限会社島田一心堂","茶卸、茶卸・販売、茶製造、茶販売店","(F専) 06-6784-9200","大阪府東大阪市高井田西２丁目１－５",
"菱屋有限会社","商社、食品貿易、繊維貿易","(F専) 072-965-9304","大阪府東大阪市川田２丁目５－１９",
"フードすぎもと","食料品店","(F専) 06-6727-4746","大阪府東大阪市金岡２丁目１６－７",
"株式会社トンソン・ジャパン","食料品卸、贈答品店","(F専) 06-6785-7611","大阪府東大阪市高井田西６丁目１－１９",
